iata_code,name,iso_country,iso_region,municipality,type,lat,lon
AMY,Ambatomainty Airport,MG,MG-M,,small,45.6239,-17.6867
AMZ,Ardmore Airport,NZ,NZ-AUK,Manurewa,medium,174.973,-37.0297
ANA,Angama Airport,KE,KE-700,Maasai Mara,small,34.9555,-1.2716
ANB,Anniston Regional Airport,US,US-AL,Anniston,medium,-85.8581,33.5882
ANC,Ted Stevens Anchorage International Airport,US,US-AK,Anchorage,large,-149.996,61.1744
AND,Anderson Regional Airport,US,US-SC,Anderson,medium,-82.7094,34.4946
ANE,Angers-Loire Airport,FR,FR-PDL,Angers/MarcÃ©,medium,-0.3122,47.5603
ANF,Andrés Sabella Gálvez International Airport,CL,CL-AN,Antofagasta,medium,-70.4451,-23.4445
ANG,Angoulême-Brie-Champniers Airport,FR,FR-NAQ,AngoulÃªme/Brie/Champniers,medium,0.2215,45.7292
ANH,Anuha Island Resort Airport,SB,SB-CE,Anhua Island,closed,160.225,-9.0014
ANI,Aniak Airport,US,US-AK,Aniak,medium,-159.543,61.5816
ANJ,Zanaga Airport,CG,CG-2,Zanaga,small,13.817,-2.85
ANK,Etimesgut Air Base,TR,TR-06,Ankara,medium,32.6886,39.9498
ANL,Andulo Airport,AO,AO-BIE,,small,16.7109,-11.4723
ANM,Antsirabato Airport,MG,MG-D,,medium,50.3202,-14.9994
ANN,Annette Island Airport,US,US-AK,Annette,medium,-131.572,55.0424
ANO,Angoche Airport,MZ,MZ-N,Angoche,small,39.9452,-16.1819
ANP,Lee Airport,US,US-MD,Annapolis,small,-76.5684,38.9429
ANQ,Tri State Steuben County Airport,US,US-IN,Angola,small,-85.0835,41.6397
ANR,Antwerp International Airport (Deurne),BE,BE-VAN,Antwerp,medium,4.4603,51.1894
ANS,Andahuaylas Airport,PE,PE-APU,Andahuaylas,small,-73.3504,-13.7064
ANU,V.C. Bird International Airport,AG,AG-03,St. John's,medium,-61.7927,17.1367
ANV,Anvik Airport,US,US-AK,Anvik,medium,-160.191,62.6467
